Name	UUID	URI
HypercubeTransform	9ec9aee3-0fd3-44c2-8e61-a50acc66f3c8	https://github.com/ptiede/HypercubeTransform.jl.git
Pluto	c3e4b0f8-55cb-11ea-2926-15256bba5781	https://github.com/fonsp/Pluto.jl.git
HighFrequencyCovariance	c79ce38c-73ba-4c3d-834c-fb94999fb590	https://github.com/s-baumann/HighFrequencyCovariance.jl.git
TiledIteration	06e1c1a7-607b-532d-9fad-de7d9aa2abac	https://github.com/JuliaArrays/TiledIteration.jl.git
RandomVariables	23df5be6-c24a-401c-9bab-7363c0ab302a	https://github.com/ManuelStapper/RandomVariables.jl.git
Kaleido	caafb194-7e8d-11e9-2724-d5981dd0806d	https://github.com/tkf/Kaleido.jl.git
RipsererPrep	28fba1bf-e12c-44a1-af44-66aee64b468f	https://github.com/cwjohnson1/RipsererPrep.jl.git
QuantumLab	e605e454-228d-5ea2-8551-672d69aa7712	https://github.com/vonDonnerstein/QuantumLab.jl.git
StructuralInheritance	eb3e9d2b-04dc-54b3-9584-49775b812a39	https://github.com/WschW/StructuralInheritance.jl.git
FameSVD	9ba2d756-9ce3-11e9-1a71-0ffcb019784d	https://github.com/MxAR/FameSVD.jl.git
Metida	a1dec852-9fe5-11e9-361f-8d9fde67cfa2	https://github.com/PharmCat/Metida.jl.git
NCTiles	4c1fdd90-559f-11e9-1abf-07ceafc4ffc0	https://github.com/gaelforget/NCTiles.jl.git
DCISolver	bee2e536-65f6-11e9-3844-e5bb4c9c55c9	https://github.com/JuliaSmoothOptimizers/DCISolver.jl.git
ParseGen_jll	3685ca4f-ed3b-50e9-b1b5-004114d6e21a	https://github.com/JuliaBinaryWrappers/ParseGen_jll.jl.git
AtBackslash	04ea9a2a-9613-4550-8ec7-b0cad5b6b706	https://github.com/tkf/AtBackslash.jl.git
Undefs	3f56377e-4191-4d51-b9b6-988a50b9b843	https://github.com/mkitti/Undefs.jl.git
Bernstein	e9b0fb4c-9cb7-4f61-9c14-701a41c684d7	https://github.com/eschnett/Bernstein.jl.git
BasicBSpline	4c5d9882-2acf-4ea4-9e48-968fd4518195	https://github.com/hyrodium/BasicBSpline.jl.git
MolecularTopologies	57484d9e-382c-5364-a237-1ed6cd00a13f	https://github.com/tom--lee/MolecularTopologies.jl.git
fts_jll	d65627f6-89bd-53e8-8ab5-8b75ff535eee	https://github.com/JuliaBinaryWrappers/fts_jll.jl.git
MolecularGraph	6c89ec66-9cd8-5372-9f91-fabc50dd27fd	https://github.com/mojaie/MolecularGraph.jl.git
SemidefiniteOptInterface	f0680fed-b2cd-5302-98f9-f4da282d86b5	https://github.com/JuliaOpt/SemidefiniteOptInterface.jl.git
TerminalPager	0c614874-6106-40ed-a7c2-2f1cd0bff883	https://github.com/ronisbr/TerminalPager.jl.git
PortAudio	80ea8bcb-4634-5cb3-8ee8-a132660d1d2d	https://github.com/JuliaAudio/PortAudio.jl.git
ROCKernels	7eb9e9f0-4bd3-4c4c-8bef-26bd9629d9b9	https://github.com/JuliaGPU/KernelAbstractions.jl.git
PlotIter	570a651b-f435-48ab-b76d-fb07b459bafb	https://github.com/tpgillam/PlotIter.jl.git
MLJFlux	094fc8d1-fd35-5302-93ea-dabda2abf845	https://github.com/FluxML/MLJFlux.jl.git
SyncBarriers	3986aa12-c984-439b-887a-f8545bea0e93	https://github.com/JuliaConcurrent/SyncBarriers.jl.git
LazySets	b4f0291d-fe17-52bc-9479-3d1a343d9043	https://github.com/JuliaReach/LazySets.jl.git
Unitless	c904d999-9673-4878-a3dd-e3ef1851788a	https://github.com/emmt/Unitless.jl.git
faust_jll	ee02ff01-307c-5f43-b4c2-04ffc4645b0f	https://github.com/JuliaBinaryWrappers/faust_jll.jl.git
Mamba	5424a776-8be3-5c5b-a13f-3551f69ba0e6	https://github.com/brian-j-smith/Mamba.jl.git
GAP	c863536a-3901-11e9-33e7-d5cd0df7b904	https://github.com/oscar-system/GAP.jl.git
BilevelJuMP	485130c0-026e-11ea-0f1a-6992cd14145c	https://github.com/joaquimg/BilevelJuMP.jl.git
MIDI	f57c4921-e30c-5f49-b073-3f2f2ada663e	https://github.com/JuliaMusic/MIDI.jl.git
ArbFloats	9689d877-bbb0-593d-8021-de8e3bedf7bf	https://github.com/JuliaArbTypes/ArbFloats.jl.git
AddPackage	70d26913-0580-4037-ad67-7d2c365cf5c5	https://github.com/mossr/AddPackage.jl.git
DisjunctiveProgramming	0d27d021-0159-4c7d-b4a7-9ccb5d9366cf	https://github.com/hdavid16/DisjunctiveProgramming.jl.git
